Provincia,Poblacion
Madrid,7058041
Barcelona,5924293
Valencia,2730314
Alicante,2008809
Sevilla,1969075
Málaga,1778275
Murcia,1575171
Cádiz,1258881
Baleares,1238812
Las Palmas,1164130
Bizkaia,1162054
La Coruña,1130238
Santa Cruz de Tenerife,1082002
Asturias,1010058
Zaragoza,983347
Pontevedra,947957
Granada,940974
Tarragona,866708
Gerona,824883
Córdoba,770952
Almería,765128
Toledo,743810
Gipuzkoa,730835
Navarra,680296
Badajoz,665069
Castellón,620186
Jaén,618031
Cantabria,591546
Huelva,535836
Valladolid,525897
Ciudad Real,492802
Lérida,452296
León,446326
Albacete,389426
Cáceres,386832
Burgos,359955
Álava,340420
Salamanca,327120
La Rioja,325264
Lugo,324520
Orense,304238
Guadalajara,282734
Huesca,229346
Cuenca,198648
Zamora,166253
Ávila,159803
Palencia,158003
Segovia,157299
Teruel,135513
Soria,90131
Melilla,86418
Ceuta,83386
